Name,IMO,Flag,Risk status,Vessel type,Age,Beneficial owner,Commercial manager,Registered owner,ISM manager,Port of Registry,Call Sign,MMSI,Classification Society,Status,Length (m),Width (m),Draught (m),Gross Tonnage,Net Tonnage,Deadweight Tonnage,Ownership Changes,Name Changes,Last Change Date,Owner Sanctions,Manager Reputation,Latitude,Longitude,Speed (knots),Course,Heading,Last Update,AIS Status,Signal Quality,Accuracy,Spoofing Risk,Dark Activity,STS Transfer Events,OFAC Listed,UN Sanctions,EU Sanctions,Total Hits,Last Violation,Detention History,Port State Control,Deficiency Count,Banning Status,Trade Route Risk,Current Region,Temperature,Wind Speed,Wave Height,Sea State,Piracy Zone,War Zone,Storm Area,Ice Zone,Voyage Risk
AMINA,9305192,IR,Sanctioned,BULK CARRIER,21,IRAN SHIPPING LINES,RAHBARAN OMID DARYA SHIP MGMT,OGHIAANOUS KHOROUSHAN SHIPPING,RAHBARAN OMID DARYA SHIP MGMT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,2,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AMULET,9413547,OM,Sanctioned,LIQUID TANKER,17,CITRINE MARINE SPC,NOVA SHIPMANAGEMENT LLC FZ,CITRINE MARINE SPC,NOVA SHIPMANAGEMENT LLC FZ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AN SAN 1,7303803,KP,Sanctioned,LIQUID TANKER,53,KOREA ANSAN SHPG CO,KOREA ANSAN SHIPPING,KOREA ANSAN SHIPPING,KOREA ANSAN SHIPPING,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Yellow Sea,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ANDIA,9193197,IR,Sanctioned,BULK CARRIER,26,IRAN SHIPPING LINES,SAPID SHIPPING CO,HAFEZ DARYA ARYA SHIPPING CO,SAPID SHIPPING CO,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,2,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ANDREY OSIPOV,8711306,RU,Sanctioned,GENERAL CARGO SHIP,32,ECO SHIPPING LLC RUS,ECO SHIPPING LLC RUS,ECO SHIPPING LLC RUS,ECO SHIPPING LLC RUS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ANHONA,9354521,BZ,Sanctioned,LIQUID TANKER,18,HARRY VICTOR SHIP MANAGEMENT & OPERATION LLC,HARRY VICTOR SHIP MANAGEMENT & OPERATION LLC,ANHONA NAVIGATION SA,HARRY VICTOR SHIP MANAGEMENT & OPERATION LLC,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ANIKA,9305609,MZ,Sanctioned,LIQUID TANKER,20,-,IMPERIAL SHIPPING INTL SA,IMPERIAL SHIPPING INTL SA,-,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
APATE,9433016,MG,Sanctioned,LIQUID TANKER,17,-,ZULU SHIPS MANAGEMENT,BRAIN WAVE SHIP LTD,ZULU SHIPS MANAGEMENT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARES,9174397,ML,Sanctioned,LIQUID TANKER,27,ARES SHIPPING LTD,ARES SHIPPING LTD,ARES SHIPPING LTD,-,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AREZOO,9165786,IR,Sanctioned,GENERAL CARGO SHIP,28,IRAN SHIPPING LINES,HAFEZ DARYA ARYA SHIPPING CO,OGHIAANOUS KHOROUSHAN SHIPPING,HAFEZ DARYA ARYA SHIPPING CO,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,2,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARGO I,9187667,IR,Sanctioned,LIQUID TANKER,26,NATIONAL IRANIAN OIL CO NIOC,NITC,NITC,NITC,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,2,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARIES,9369722,IR,Sanctioned,BULK CARRIER,18,IRAN SHIPPING LINES,RAHBARAN OMID DARYA SHIP MGMT,MOSAKHAR DARYA SHIPPING CO,RAHBARAN OMID DARYA SHIP MGMT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,2,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARISTA,9348493,KM,Sanctioned,CONTAINER,20,-,-,-,-,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,Open sea,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARMADA EXPLORER,9377042,RU,Sanctioned,LIQUID TANKER,20,LLC LSKEPITAL OOO LSK,ENEYA LLC,SBK DOLINA LLC,ENEYA LLC,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ARMADA LEADER,9260483,RU,Sanctioned,LIQUID TANKER,24,LLC LSKEPITAL OOO LSK,ENEYA LLC,SBK DOLINA LLC,ENEYA LLC,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ARNO BABAJANYAN,9163764,RU,Sanctioned,LIQUID TANKER,27,MORSKOY STANDART BUNKER LLC,MORSKOY STANDART BUNKER LLC,UNIVERSAL LEASING CO JSC,MORSKOY STANDART BUNKER LLC,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ARTARIA,9226944,IR,Sanctioned,BULK CARRIER,25,IRAN SHIPPING LINES,RAHBARAN OMID DARYA SHIP MGMT,OGHIAANOUS KHOROUSHAN SHIPPING,RAHBARAN OMID DARYA SHIP MGMT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,2,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARTEMIS OFFSHORE,9747194,RU,Sanctioned,SUBSEA OPERATION VESSEL,8,-,RUSSIA GOVT MARINE RESCUE SERV,RUSSIA GOVT MARINE RESCUE SERV,RUSSIA GOVT MARINE RESCUE SERV,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,2,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ASIA BRIDGE,9010022,KP,Sanctioned,GENERAL CARGO SHIP,35,WEIHAI HUIJIANG TRADE LTD,WEIHAI HUIJIANG TRADE LTD,GOOD SIBLINGS LTD,-,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Yellow Sea,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ASTORIA,9166314,RU,Sanctioned,LIQUID TANKER,27,TRINITY SHIPPING LLC,TRINITY SHIPPING LLC,TRINITY SHIPPING LLC,TRINITY SHIPPING LLC,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ATEELA 2,9549009,IR,Sanctioned,LIQUID TANKER,16,SAPID SHIPPING CO,SAPID SHIPPING CO,BEHENGAM TADBEER QESHM SHIPPING CO,RAHBARAN OMID DARYA SHIP MGMT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ATILA,9262754,CM,Sanctioned,LIQUID TANKER,23,GRAT SHIPPING CO LTD,GRAT SHIPPING CO LTD,GRAT SHIPPING CO LTD,MERIDIAN NAVI SHIPMANAGEMENT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ATLANTIS I,9229362,CW,Sanctioned,LIQUID TANKER,24,AL ANCHOR SHIP MANAGEMENT FZE,AL ANCHOR SHIP MANAGEMENT FZE,ROAD SHIPPING INC,AL ANCHOR SHIP MANAGEMENT FZE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ATLANTIS MZ,9218181,KM,Sanctioned,LIQUID TANKER,26,ATLANTIS M SHIPPING CO,ATLANTIS M SHIPPING CO,ATLANTIS M SHIPPING CO,-,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ATMOS,9337418,PW,Sanctioned,LIQUID TANKER,19,-,WU YI SHAN SHIPMANAGEMENT CO,YAMAI MARITIME INC,WU YI SHAN SHIPMANAGEMENT CO,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AUDAX,9763837,SG,Sanctioned,GENERAL CARGO SHIP,10,RED BOX ENERGY SERVSNG,RED BOX ENERGY SERVSNG,FORTUNE MC HERCULES SHIPPING,-,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,Open sea,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AUGA,9381732,RU,Sanctioned,LIQUID TANKER,18,-,-,-,FAR FRONTIERS LLC,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,4,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
AURA 1,9472634,PA,Sanctioned,LIQUID TANKER,15,-,DAVA SHIPPING LTD,DAVA SHIPPING LTD,HENG SHAN SHIPMANAGEMENT CO,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AURA MARIS,9347308,CM,Sanctioned,LIQUID TANKER,18,UNITED FUEL TRADING UFT PTE,UNITED FUEL TRADING UFT PTE,UNITED FUEL TRADING UFT PTE,ASTUTE MARITIME SERVICES PTE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,2,Unknown,3,Sanctioned,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
