Name,IMO,Flag,Risk status,Vessel type,Age,Beneficial owner,Commercial manager,Registered owner,ISM manager,Port of Registry,Call Sign,MMSI,Classification Society,Status,Length (m),Width (m),Draught (m),Gross Tonnage,Net Tonnage,Deadweight Tonnage,Ownership Changes,Name Changes,Last Change Date,Owner Sanctions,Manager Reputation,Latitude,Longitude,Speed (knots),Course,Heading,Last Update,AIS Status,Signal Quality,Accuracy,Spoofing Risk,Dark Activity,STS Transfer Events,OFAC Listed,UN Sanctions,EU Sanctions,Total Hits,Last Violation,Detention History,Port State Control,Deficiency Count,Banning Status,Trade Route Risk,Current Region,Temperature,Wind Speed,Wave Height,Sea State,Piracy Zone,War Zone,Storm Area,Ice Zone,Voyage Risk
ALEKSEY MARYSHEV,8909329,RU,Sanctioned,SPECIAL PURPOSE SERVICE VESSEL,36,-,RUSSIA GOVT HYDROGRAPHIC DEPT,RUSSIAN GOVERNMENT,RUSSIA GOVT HYDROGRAPHIC DEPT,Rostov-on-Don,MQYK8,643952132,,Laid Up,134.4m,23.4m,8.47m,5777,2603,3467,2,2,24-Mar-18,4,Sanctioned,42.23934,32.01028,2.4 kn,263 °,326 °,2025-04-29 13:35 (UTC+0),At Anchor,Weak,86%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ALEXEY SAVRASOV,9645061,RU,Sanctioned,LIQUID TANKER,13,UNIVERSAL CARGO LOGISTICS HOLDING BV,JSC ILYA MUROMETS,JSC ILYA MUROMETS,JSC ILYA MUROMETS,Saint Petersburg,GWFO4,552250854,ClassNK,Laid Up,194.98m,24.18m,10.24m,9419,5439,14132,0,2,5-May-24,4,Sanctioned,44.65281,30.84096,0.6 kn,189 °,89 °,2025-01-30 18:38 (UTC+0),Underway Using Engine,Weak,86%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ALIZA,9239989,CW,Sanctioned,LIQUID TANKER,22,BOSS PRP GROUP,BOSS PRP GROUP,TETHIS SHIPPING CO,-,Otrabanda,NAZT0,619582720,Russian Maritime Register of Shipping,Inactive,157.08m,28.31m,12.84m,42839,26405,66802,0,2,18-Aug-03,3,Sanctioned,-1.73293,67.11683,0.2 kn,24 °,305 °,2024-05-24 02:25 (UTC+0),Moored,Roaming,88%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ALOR 2,9228538,IR,Sanctioned,CONTAINER,25,NEPTORIA SHIP MANAGEMENT,-,-,-,Bushehr,ERIC4,359911086,China Classification Society (CCS),Inactive,240.18m,43.09m,8.75m,62939,31714,55283,0,2,20-May-09,4,Sanctioned,27.11949,58.47535,10.7 kn,29 °,90 °,2025-06-24 16:52 (UTC+0),At Anchor,Good,87%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ALTIS,9265756,SL,Sanctioned,LIQUID TANKER,21,-,ZINREPIN HARBORCRAFT LTD,ZINREPIN HARBORCRAFT LTD,NAUTEXA STRATUM LLC,Sherbro,DSAZ1,409456121,ClassNK,Laid Up,205.1m,32.92m,14.13m,20936,13968,34805,0,2,20-Aug-15,3,Sanctioned,14.74128,51.69413,10.8 kn,260 °,187 °,2025-04-29 08:47 (UTC+0),Underway Using Engine,Good,94%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ALYSSUM,9314818,RU,Sanctioned,LIQUID TANKER,20,GLOBAL SEAWAY LLC,HS MONA LTD,HS MONA LTD,-,Murmansk,WAWY3,407457839,Korean Register (KR),Inactive,207.96m,31.02m,7.53m,26967,16323,50722,0,2,25-Dec-20,4,Sanctioned,46.19467,31.40157,3.5 kn,356 °,183 °,2024-06-15 06:59 (UTC+0),Drifting,Moderate,92%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
AMAZON,9292204,OM,Sanctioned,LIQUID TANKER,21,-,NOVA SHIPMANAGEMENT LLC FZ,CITRINE MARINE SPC,NOVA SHIPMANAGEMENT LLC FZ,Muscat,NNXZ1,632439117,Turkish Lloyd (TL),Laid Up,193.1m,25.45m,10.98m,17832,12392,26875,0,2,19-Jul-24,3,Sanctioned,-4.98803,55.96824,8.8 kn,154 °,127 °,2025-06-24 13:42 (UTC+0),Underway Using Engine,Roaming,97%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AMELL,9257993,GM,Sanctioned,LIQUID TANKER,23,-,SHANGHAI VIII MARITIME CO,SHANGHAI VIII MARITIME CO,-,Banjul,ISXM3,242148360,Korean Register (KR),Active,270.58m,36.73m,12.84m,67673,42018,111970,0,2,24-Jan-02,3,Sanctioned,1.28944,68.84849,9.9 kn,131 °,189 °,2025-02-01 01:35 (UTC+0),Underway Using Engine,Moderate,78%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AMINA,9305192,IR,Sanctioned,BULK CARRIER,21,IRAN SHIPPING LINES,RAHBARAN OMID DARYA SHIP MGMT,OGHIAANOUS KHOROUSHAN SHIPPING,RAHBARAN OMID DARYA SHIP MGMT,Bandar Abbas,PEWB8,628445071,,Active,227.36m,34.0m,17.66m,76041,44059,128894,2,2,8-Jun-18,4,Sanctioned,25.97804,49.65638,11.4 kn,160 °,328 °,2025-04-25 18:44 (UTC+0),Underway Using Engine,Good,78%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AMULET,9413547,OM,Sanctioned,LIQUID TANKER,17,CITRINE MARINE SPC,NOVA SHIPMANAGEMENT LLC FZ,CITRINE MARINE SPC,NOVA SHIPMANAGEMENT LLC FZ,Duqm,WVVN8,740323080,Indian Register of Shipping (IRS),Inactive,272.12m,47.32m,14.04m,41336,24588,63731,0,2,15-Nov-06,3,Sanctioned,13.51779,72.96672,13.1 kn,348 °,245 °,2024-11-07 23:38 (UTC+0),Underway Using Engine,Good,83%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AN SAN 1,7303803,KP,Sanctioned,LIQUID TANKER,53,KOREA ANSAN SHPG CO,KOREA ANSAN SHIPPING,KOREA ANSAN SHIPPING,KOREA ANSAN SHIPPING,Wonsan,IBAD5,366040086,Bureau Veritas,Inactive,153.05m,27.05m,12.16m,39373,23311,63457,0,2,7-May-11,4,Sanctioned,37.44463,124.14643,4.8 kn,100 °,262 °,2024-12-14 10:57 (UTC+0),Underway Using Engine,Good,95%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Yellow Sea,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ANDIA,9193197,IR,Sanctioned,BULK CARRIER,26,IRAN SHIPPING LINES,SAPID SHIPPING CO,HAFEZ DARYA ARYA SHIPPING CO,SAPID SHIPPING CO,Chabahar,BSPN1,635457724,RINA,Active,268.35m,47.02m,13.35m,14227,8546,24668,2,2,14-Jun-19,4,Sanctioned,25.78874,51.92737,1.6 kn,56 °,287 °,2025-09-29 22:14 (UTC+0),Underway Using Engine,Weak,84%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ANDREY OSIPOV,8711306,RU,Sanctioned,GENERAL CARGO SHIP,32,ECO SHIPPING LLC RUS,ECO SHIPPING LLC RUS,ECO SHIPPING LLC RUS,ECO SHIPPING LLC RUS,Nakhodka,DYDO1,619735531,Turkish Lloyd (TL),Active,70.85m,12.77m,9.32m,16420,10452,21856,0,2,25-Apr-01,4,Sanctioned,46.49194,39.55187,9.3 kn,209 °,42 °,2025-03-03 22:50 (UTC+0),Drifting,Weak,96%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ANHONA,9354521,BZ,Sanctioned,LIQUID TANKER,18,HARRY VICTOR SHIP MANAGEMENT & OPERATION LLC,HARRY VICTOR SHIP MANAGEMENT & OPERATION LLC,ANHONA NAVIGATION SA,HARRY VICTOR SHIP MANAGEMENT & OPERATION LLC,Dangriga,WXFE5,640348236,Bureau Veritas,Inactive,231.16m,38.8m,12.49m,47993,27144,73972,0,2,19-Oct-08,3,Sanctioned,7.01927,59.27671,7.9 kn,40 °,138 °,2024-03-11 04:30 (UTC+0),Underway Using Engine,Good,90%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ANIKA,9305609,MZ,Sanctioned,LIQUID TANKER,20,-,IMPERIAL SHIPPING INTL SA,IMPERIAL SHIPPING INTL SA,-,Nacala,GSCE7,664158671,Lloyd's Register,Laid Up,112.98m,19.98m,15.92m,52676,29917,105088,0,2,25-Aug-21,3,Sanctioned,19.9066,57.45909,14.6 kn,294 °,16 °,2024-12-05 09:33 (UTC+0),At Anchor,Roaming,77%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
APATE,9433016,MG,Sanctioned,LIQUID TANKER,17,-,ZULU SHIPS MANAGEMENT,BRAIN WAVE SHIP LTD,ZULU SHIPS MANAGEMENT,Mahajanga,UERV7,780684717,DNV,Active,273.17m,38.1m,14.79m,78640,46162,133359,0,2,5-Sep-03,3,Sanctioned,4.87792,67.22762,9.8 kn,93 °,123 °,2024-01-13 14:45 (UTC+0),At Anchor,Good,92%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARES,9174397,ML,Sanctioned,LIQUID TANKER,27,ARES SHIPPING LTD,ARES SHIPPING LTD,ARES SHIPPING LTD,-,Bamako,NCUY0,617757394,,Laid Up,271.3m,32.22m,12.03m,62823,38672,122599,0,2,2-Oct-11,3,Sanctioned,14.66014,59.40584,5.3 kn,98 °,258 °,2025-10-08 09:25 (UTC+0),Drifting,Good,96%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AREZOO,9165786,IR,Sanctioned,GENERAL CARGO SHIP,28,IRAN SHIPPING LINES,HAFEZ DARYA ARYA SHIPPING CO,OGHIAANOUS KHOROUSHAN SHIPPING,HAFEZ DARYA ARYA SHIPPING CO,Chabahar,OACE4,654250019,Bureau Veritas,Active,105.88m,17.79m,10.98m,6576,4241,9050,2,2,26-Jul-06,4,Sanctioned,22.96731,52.08645,8.2 kn,25 °,336 °,2024-08-24 18:45 (UTC+0),Underway Using Engine,Moderate,77%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARGO I,9187667,IR,Sanctioned,LIQUID TANKER,26,NATIONAL IRANIAN OIL CO NIOC,NITC,NITC,NITC,Bushehr,BBYT2,771166147,American Bureau of Shipping (ABS),Inactive,152.34m,23.92m,10.94m,16312,11299,25127,2,2,28-Feb-16,4,Sanctioned,22.90988,49.04257,2.2 kn,71 °,322 °,2024-05-17 06:00 (UTC+0),Drifting,Good,81%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARIES,9369722,IR,Sanctioned,BULK CARRIER,18,IRAN SHIPPING LINES,RAHBARAN OMID DARYA SHIP MGMT,MOSAKHAR DARYA SHIPPING CO,RAHBARAN OMID DARYA SHIP MGMT,Bandar Imam Khomeini,SJQU0,253856706,Russian Maritime Register of Shipping,Active,222.31m,32.54m,15.63m,85463,54590,146064,2,2,18-Sep-05,4,Sanctioned,29.3672,59.11978,1.4 kn,308 °,46 °,2024-07-05 19:56 (UTC+0),Underway Using Engine,Weak,76%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARISTA,9348493,KM,Sanctioned,CONTAINER,20,-,-,-,-,Fomboni,BIMY1,757002042,Lloyd's Register,Active,245.77m,30.82m,10.8m,197670,115539,161289,0,2,19-Mar-22,3,Sanctioned,-20.87689,-23.76044,3.3 kn,334 °,331 °,2024-12-29 14:24 (UTC+0),At Anchor,Moderate,91%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,Open sea,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARMADA EXPLORER,9377042,RU,Sanctioned,LIQUID TANKER,20,LLC LSKEPITAL OOO LSK,ENEYA LLC,SBK DOLINA LLC,ENEYA LLC,Murmansk,FMYM2,332760129,Lloyd's Register,Inactive,126.65m,17.65m,7.37m,38828,25500,60179,0,2,7-Feb-19,4,Sanctioned,44.77878,40.33027,14.5 kn,303 °,89 °,2025-02-28 02:47 (UTC+0),Underway Using Engine,Roaming,98%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ARMADA LEADER,9260483,RU,Sanctioned,LIQUID TANKER,24,LLC LSKEPITAL OOO LSK,ENEYA LLC,SBK DOLINA LLC,ENEYA LLC,Novorossiysk,GNCY4,496269861,Bureau Veritas,Laid Up,205.68m,36.2m,10.44m,27692,17957,51474,0,2,17-Oct-13,4,Sanctioned,44.90484,39.90664,2.8 kn,248 °,230 °,2024-11-14 14:32 (UTC+0),At Anchor,Good,99%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ARNO BABAJANYAN,9163764,RU,Sanctioned,LIQUID TANKER,27,MORSKOY STANDART BUNKER LLC,MORSKOY STANDART BUNKER LLC,UNIVERSAL LEASING CO JSC,MORSKOY STANDART BUNKER LLC,Novorossiysk,JEZW2,457515609,Lloyd's Register,Inactive,266.27m,47.34m,12.59m,68516,43752,114033,0,2,4-May-05,4,Sanctioned,45.89443,36.77518,11.8 kn,44 °,357 °,2024-10-31 04:05 (UTC+0),At Anchor,Moderate,84%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ARTARIA,9226944,IR,Sanctioned,BULK CARRIER,25,IRAN SHIPPING LINES,RAHBARAN OMID DARYA SHIP MGMT,OGHIAANOUS KHOROUSHAN SHIPPING,RAHBARAN OMID DARYA SHIP MGMT,Khorramshahr,XLHP8,538946851,American Bureau of Shipping (ABS),Active,297.99m,43.63m,15.01m,41986,28198,73271,2,2,14-Jan-07,4,Sanctioned,25.25884,52.95855,12.4 kn,66 °,207 °,2025-10-11 09:07 (UTC+0),Moored,Moderate,85%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ARTEMIS OFFSHORE,9747194,RU,Sanctioned,SUBSEA OPERATION VESSEL,8,-,RUSSIA GOVT MARINE RESCUE SERV,RUSSIA GOVT MARINE RESCUE SERV,RUSSIA GOVT MARINE RESCUE SERV,Rostov-on-Don,TEJO5,331750420,Indian Register of Shipping (IRS),Active,112.81m,18.0m,7.47m,6547,3587,4399,2,2,22-Mar-03,4,Sanctioned,45.17952,34.34173,0.7 kn,150 °,177 °,2024-10-04 09:58 (UTC+0),Drifting,Weak,97%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ASIA BRIDGE,9010022,KP,Sanctioned,GENERAL CARGO SHIP,35,WEIHAI HUIJIANG TRADE LTD,WEIHAI HUIJIANG TRADE LTD,GOOD SIBLINGS LTD,-,Rajin,NEZV8,755543676,Lloyd's Register,Active,90.94m,12.34m,11.21m,6639,4162,9887,0,2,24-Jun-07,4,Sanctioned,30.35453,125.04127,11.1 kn,204 °,276 °,2024-01-28 18:09 (UTC+0),Underway Using Engine,Good,78%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Yellow Sea,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ASTORIA,9166314,RU,Sanctioned,LIQUID TANKER,27,TRINITY SHIPPING LLC,TRINITY SHIPPING LLC,TRINITY SHIPPING LLC,TRINITY SHIPPING LLC,Rostov-on-Don,QHFU1,583393896,Korean Register (KR),Active,124.69m,21.9m,9.32m,59078,37834,113588,0,2,13-Jan-10,4,Sanctioned,42.32256,39.97437,12.4 kn,6 °,73 °,2024-01-24 02:58 (UTC+0),Moored,Moderate,74%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
ATEELA 2,9549009,IR,Sanctioned,LIQUID TANKER,16,SAPID SHIPPING CO,SAPID SHIPPING CO,BEHENGAM TADBEER QESHM SHIPPING CO,RAHBARAN OMID DARYA SHIP MGMT,Bandar Abbas,NBPC9,619325262,Russian Maritime Register of Shipping,Active,140.58m,20.98m,7.75m,67087,42667,105784,0,2,8-Nov-13,4,Sanctioned,28.8861,51.99112,13.4 kn,2 °,37 °,2024-10-15 11:08 (UTC+0),Drifting,Roaming,75%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Persian Gulf,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ATILA,9262754,CM,Sanctioned,LIQUID TANKER,23,GRAT SHIPPING CO LTD,GRAT SHIPPING CO LTD,GRAT SHIPPING CO LTD,MERIDIAN NAVI SHIPMANAGEMENT,Douala,YMNS2,715934909,RINA,Active,138.66m,20.11m,15.82m,8088,4899,13522,0,2,10-Dec-18,3,Sanctioned,23.51694,74.92927,2.8 kn,226 °,329 °,2024-05-02 20:48 (UTC+0),Underway Using Engine,Roaming,99%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ATLANTIS I,9229362,CW,Sanctioned,LIQUID TANKER,24,AL ANCHOR SHIP MANAGEMENT FZE,AL ANCHOR SHIP MANAGEMENT FZE,ROAD SHIPPING INC,AL ANCHOR SHIP MANAGEMENT FZE,Willemstad,TMED1,742388216,Russian Maritime Register of Shipping,Laid Up,161.1m,28.75m,7.15m,38442,22961,63839,0,2,3-Dec-18,3,Sanctioned,12.44136,50.97448,10.9 kn,224 °,134 °,2025-10-19 04:40 (UTC+0),Drifting,Weak,90%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ATLANTIS MZ,9218181,KM,Sanctioned,LIQUID TANKER,26,ATLANTIS M SHIPPING CO,ATLANTIS M SHIPPING CO,ATLANTIS M SHIPPING CO,-,Mutsamudu,SSCV9,427651738,Russian Maritime Register of Shipping,Active,182.91m,27.26m,11.19m,10368,5862,19073,0,2,19-Jan-01,3,Sanctioned,22.19122,61.86307,1.1 kn,157 °,110 °,2024-08-28 07:46 (UTC+0),At Anchor,Moderate,92%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
